이름,도로명주소,위도,경도
서울지방우정청,"서울특별시 종로구 종로 6 (서린동, 서울지방우정청)",,
동국대학교우편취급국,"서울특별시 중구 필동로1길 30 (장충동2가,동국대학교)",,
서울소공동우체국,서울특별시 중구 남대문로1길 34 (북창동),,
서울신당1동우편취급국,서울특별시 중구 다산로29길 23 (신당동),,
서울신당동우체국,서울특별시 중구 다산로 128-8 (신당동),,
서울신당현대우편취급국,서울특별시 중구 다산로36나길 7 (신당동),,
서울역전우체국,서울특별시 중구 통일로 21 (봉래동2가),,
서울을지로4가우체국,서울특별시 중구 을지로 154-2 (을지로4가),,
서울중앙우체국,서울특별시 중구 소공로 70 (충무로1가),,
서울충무로2가우체국,서울특별시 중구 삼일대로6길 5 (충무로2가),,
서울태평로우체국,서울특별시 중구 칠패로 42 (봉래동1가),,
서울퇴계로5가우체국,서울특별시 중구 퇴계로 270 (장충동2가),,
서울회현동우편취급국,서울특별시 중구 퇴계로6길 18 (남창동),,
서울흥인동우체국,서울특별시 중구 다산로 253 (흥인동),,
광화문우체국,"서울특별시 종로구 종로 6 (서린동,광화문우체국)",,
상명대학교우편취급국,"서울특별시 종로구 홍지문2길 20 (홍지동,상명대학교)",,
서울내수동우편취급국,"서울특별시 종로구 새문안로3길 30, 지하121호",,
서울대학교병원우편취급국,서울특별시 종로구 대학로 101 (연건동),,
서울삼청동우체국,서울특별시 종로구 북촌로 112 (삼청동),,
서울세검정우체국,서울특별시 종로구 세검정로 258 (신영동),,
서울숭인동우체국,서울특별시 종로구 지봉로 88 (숭인동),,
서울안국동우체국,서울특별시 종로구 율곡로 49 (안국동),,
서울종로2가우체국,서울특별시 종로구 종로17길 8 (종로2가),,
서울종로5가우체국,서울특별시 종로구 종로 207-1 (종로5가),,
서울종로6가우편취급국,서울특별시 종로구 종로41길 36,,
서울창신1동우편취급국,서울특별시 종로구 종로 328 (창신동),,
서울창신2동우편취급국,"서울특별시 종로구 낙산길 198 (창신동,쌍용아파트)",,
서울통의동우체국,서울특별시 종로구 자하문로 30 (통의동),,
서울혜화동우체국,서울특별시 종로구 혜화로 1 (혜화동),,
서울홍파동우편취급국,"서울특별시 종로구 송월길 99, 경희궁자이아파트 202동 상가 145호 (홍파동, 경희궁자이2단지)",,
성균관대학교우편취급국,"서울특별시 종로구 성균관로 25-2 (명륜3가,성균관대학교)",,
정부서울청사우편취급국,"서울특별시 종로구 세종대로 209 (세종로, 정부서울청사)",,
한국방송통신대학교우편취급국,서울특별시 종로구 대학로 86(동숭동),,
경찰청우편취급국,"서울특별시 서대문구 통일로 97 (미근동, 경찰청)",,
명지대학교우편취급국,"서울특별시 서대문구 거북골로 34 (남가좌동,명지대학교)",,
서대문우체국,"서울특별시 서대문구 성산로20길 9(창천동,서대문우체국)",,
서울남가좌1동우편취급국,서울특별시 서대문구 모래내로 143 (남가좌동),,
서울독립문우편취급국,서울특별시 서대문구 독립문공원길 13 (현저동),,
서울모래내우체국,서울특별시 서대문구 거북골로 160 (북가좌동),,
서울미근동우편취급국,"서울특별시 서대문구 서소문로 21 (충정로3가,충정타워빌딩)",,
서울신촌우체국,서울특별시 서대문구 신촌로 161 (대현동),,
서울연세대학교우체국,서울특별시 서대문구 연세로 50 (신촌동),,
서울연희동우체국,서울특별시 서대문구 증가로 12 (연희동),,
서울충정로우체국,서울특별시 서대문구 통일로 127 (충정로2가),,
서울홍은2동우편취급국,서울특별시 서대문구 연희로 261-28 (홍은동),,
서울홍은미성우편취급국,서울특별시 서대문구 연희로41길 37 (홍은동),,
서울홍제3동우편취급국,서울특별시 서대문구 간호대로 11-24 (홍제동),,
서울홍제동우체국,서울특별시 서대문구 통일로 419 (홍제동),,
이화여자대학교우편취급국,"서울특별시 서대문구 이화여대길 52 학생문화관 104호 (대현동, 이화여자대학교)",,
서강대학교우편취급국,"서울특별시 마포구 백범로 35 (신수동,서강대학교)",,
서울공덕2동우편취급국,서울특별시 마포구 마포대로14길 14-1 (공덕동),,
서울노고산동우편취급국,서울특별시 마포구 백범로1길 18 (노고산동),,
서울대흥동우편취급국,서울특별시 마포구 백범로17길 3(대흥동 198-1),,
서울도화동우편취급국,서울특별시 마포구 삼개로 24 용현빌딩(도화동 288-1),,
